Player,School,Year,Pick,Pos,G,MP,FG%,2P%,College 3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,3PTM,3P%
Dan Dickau,Gonzaga,2002,20,PG,97,32.1,0.451,0.436,0.462,0.854,13.3,4.85,0.634,0.578,0.553,0.441,9.5,0.44,0.361
Roger Mason,Virginia,2002,21,SG,89,29.6,0.436,0.479,0.375,0.869,13.8,7.61,0.579,0.513,0.411,0.412,6.4,0.35,0.333
Vincent Yarbrough,Tennessee,2002,22,SF,127,30.4,0.44,0.5,0.34,0.687,13.7,8.94,0.535,0.504,0.377,0.346,6.5,0.36,0.269
Dan Gadzuric,UCLA,2002,23,PF,122,24.1,0.548,0.549,0.0,0.449,10.5,10.45,0.535,0.548,0.001,0.425,4.6,0.0,0.0
Carlos Boozer,Duke,2002,24,PF,101,25.9,0.631,0.632,0.0,0.741,14.9,10.0,0.665,0.631,0.001,0.612,11.4,0.0,0.0
Lonny Baxter,Maryland,2002,25,PF,138,24.4,0.553,0.553,0.6,0.6,13.5,9.73,0.571,0.554,0.004,0.558,9.0,0.0,0.0
Matt Barnes,UCLA,2002,26,SG,121,22.6,0.469,0.514,0.314,0.566,8.8,10.45,0.52,0.505,0.226,0.414,3.2,0.05,0.154
Rasual Butler,La Salle,2002,27,SG-SF,110,38.3,0.409,0.447,0.359,0.829,19.3,3.11,0.523,0.486,0.427,0.223,7.1,0.69,0.292
Tamar Slay,Marshall,2002,28,SG,114,28.8,0.443,0.491,0.386,0.749,15.7,0.61,0.561,0.531,0.46,0.273,8.3,0.19,0.292
Carmelo Anthony,Syracuse,2003,1,SF,35,36.4,0.453,0.496,0.337,0.706,22.2,9.02,0.537,0.498,0.271,0.389,2.7,0.84,0.322
Chris Bosh,Georgia Tech,2003,2,C,31,31.0,0.56,0.575,0.478,0.73,15.6,7.94,0.634,0.597,0.153,0.58,3.5,0.07,0.357
Dwyane Wade,Marquette,2003,3,PG,65,30.7,0.494,0.512,0.333,0.745,19.7,6.03,0.557,0.511,0.1,0.421,6.0,0.26,0.302
Chris Kaman,Central Michigan,2003,4,C,83,26.3,0.608,0.608,0.0,0.713,15.1,1.05,0.643,0.608,0.0,0.685,9.2,0.0,0.0
Kirk Hinrich,Kansas,2003,5,PG,141,29.7,0.493,0.542,0.43,0.776,12.4,9.68,0.616,0.587,0.438,0.298,11.5,1.89,0.39
T.J. Ford,Texas,2003,6,PG,66,33.0,0.406,0.436,0.228,0.801,12.9,9.63,0.5,0.422,0.145,0.478,2.0,0.09,0.238
Mike Sweetney,Georgetown,2003,7,PF,96,29.0,0.544,0.546,0.0,0.727,18.2,4.02,0.597,0.544,0.004,0.658,10.4,0.0,0.0
