Player,School,Year,Pick,Pos,G,MP,FG%,2P%,College 3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,3PTM,3P%
Jerome Jordan,Tulsa,2010,33,C,133,24.2,0.567,0.567,0.0,0.696,11.3,2.63,0.605,0.567,0.0,0.617,10.3,0.0,0.0
Luke Harangody,Notre Dame,2010,34,SF,129,29.2,0.476,0.486,0.326,0.782,19.2,6.73,0.536,0.486,0.066,0.365,9.8,0.33,0.242
Jeremy Evans,Western Kentucky,2010,35,PF,134,23.5,0.639,0.654,0.364,0.684,7.9,-1.72,0.66,0.648,0.049,0.436,9.0,0.0,0.0
Derrick Caracter,UTEP,2010,36,PF,79,19.7,0.563,0.57,0.313,0.628,10.3,5.88,0.585,0.567,0.029,0.505,3.9,0.0,0.0
Kyrie Irving,Duke,2011,1,PG,11,27.5,0.529,0.569,0.462,0.901,17.5,8.31,0.697,0.615,0.375,0.683,1.8,1.43,0.399
Derrick Williams,Arizona,2011,2,PF,69,29.2,0.586,0.598,0.511,0.719,17.8,8.04,0.66,0.621,0.136,0.85,9.2,0.56,0.268
Tristan Thompson,Texas,2011,3,PF,36,30.7,0.546,0.546,0.0,0.487,13.1,7.96,0.536,0.546,0.0,0.829,2.8,0.0,0.0
Brandon Knight,Kentucky,2011,4,PG,38,35.9,0.423,0.461,0.377,0.795,17.3,8.91,0.553,0.508,0.45,0.333,3.6,1.59,0.38
Kemba Walker,UConn,2011,5,PG,111,32.9,0.428,0.469,0.326,0.783,16.1,9.39,0.539,0.475,0.287,0.474,11.5,1.05,0.305
Jimmer Fredette,BYU,2011,6,PG,139,29.6,0.455,0.497,0.394,0.882,18.7,3.56,0.596,0.535,0.408,0.386,16.8,1.28,0.361
Klay Thompson,Washington State,2011,7,SG,98,34.4,0.424,0.45,0.39,0.827,17.9,6.32,0.55,0.509,0.438,0.27,7.9,1.68,0.414
Alec Burks,Colorado,2011,8,SG,68,30.9,0.495,0.533,0.313,0.804,19.0,6.65,0.592,0.522,0.175,0.579,9.2,0.25,0.333
Markieff Morris,Kansas,2011,9,PF,109,19.3,0.553,0.579,0.404,0.653,8.5,7.92,0.603,0.583,0.152,0.504,5.5,0.68,0.347
Marcus Morris,Kansas,2011,10,PF,109,24.0,0.555,0.585,0.358,0.66,12.6,7.92,0.601,0.579,0.134,0.514,9.4,0.12,0.118
Kawhi Leonard,San Diego State,2011,11,SF,70,31.9,0.449,0.497,0.25,0.744,14.1,5.29,0.513,0.473,0.195,0.312,6.1,0.64,0.376
Nikola Vucevic,USC,2011,12,C,87,27.7,0.509,0.551,0.303,0.746,11.1,7.86,0.571,0.535,0.169,0.355,6.5,0.06,0.375
Iman Shumpert,Georgia Tech,2011,13,PG,92,31.3,0.396,0.45,0.305,0.738,12.7,7.34,0.503,0.453,0.373,0.39,4.1,0.81,0.306
Chris Singleton,Florida State,2011,14,SF,95,29.1,0.419,0.476,0.33,0.592,10.3,7.05,0.507,0.484,0.393,0.419,2.5,0.67,0.346
Tobias Harris,Tennessee,2011,15,SF,34,29.2,0.46,0.497,0.303,0.753,15.3,8.73,0.54,0.489,0.189,0.423,2.9,0.14,0.261
Nolan Smith,Duke,2011,16,PG,143,26.9,0.448,0.482,0.368,0.8,13.4,8.97,0.551,0.503,0.303,0.345,11.6,0.3,0.289
Kenneth Faried,Morehead State,2011,17,PF,136,29.1,0.569,0.572,0.25,0.583,14.8,-4.03,0.579,0.57,0.009,0.549,11.8,0.0,0.0
Reggie Jackson,Boston College,2011,18,PG,99,28.0,0.465,0.527,0.351,0.753,12.7,7.25,0.56,0.527,0.352,0.302,7.9,0.29,0.21
MarShon Brooks,Providence,2011,19,SG,113,25.3,0.464,0.543,0.333,0.739,14.4,7.44,0.559,0.526,0.375,0.318,8.4,0.84,0.313
Jordan Hamilton,Texas,2011,20,SF,70,26.2,0.43,0.475,0.377,0.71,14.5,7.67,0.538,0.516,0.461,0.218,5.5,0.65,0.362
JaJuan Johnson,Purdue,2011,21,PF,140,27.5,0.501,0.512,0.25,0.743,13.7,7.64,0.556,0.506,0.043,0.47,10.3,0.0,0.0
Norris Cole,Cleveland State,2011,22,PG,140,29.4,0.435,0.48,0.321,0.826,14.1,1.92,0.539,0.48,0.278,0.377,10.5,0.32,0.276
Cory Joseph,Texas,2011,23,PG,36,32.4,0.422,0.429,0.413,0.699,10.4,7.96,0.526,0.503,0.391,0.227,2.2,0.1,0.2
Jimmy Butler,Marquette,2011,24,SG,106,29.6,0.508,0.525,0.383,0.773,12.0,8.21,0.607,0.531,0.122,0.776,11.2,0.05,0.182
Shelvin Mack,Butler,2011,25,PG,108,31.2,0.419,0.48,0.357,0.755,14.1,4.05,0.544,0.507,0.493,0.303,7.9,0.19,0.286
Jordan Williams,Maryland,2011,26,PF,66,28.6,0.528,0.528,0.0,0.559,13.2,6.85,0.54,0.528,0.0,0.544,4.9,0.0,0.0
Trey Thompkins,Georgia,2011,27,PF,89,29.5,0.469,0.496,0.357,0.729,15.7,6.56,0.536,0.504,0.194,0.297,5.5,0.17,0.308
Chandler Parsons,Florida,2011,28,SF,142,27.9,0.477,0.575,0.337,0.611,10.2,5.9,0.56,0.546,0.411,0.363,8.4,0.95,0.337
Jon Leuer,Wisconsin,2011,29,PF,123,22.8,0.482,0.521,0.368,0.723,11.2,8.06,0.559,0.529,0.253,0.309,8.9,0.07,0.333
Charles Jenkins,Hofstra,2011,30,PG,128,35.9,0.456,0.482,0.382,0.811,19.6,-1.45,0.563,0.505,0.254,0.425,13.9,0.06,0.15
Josh Harrellson,Kentucky,2011,31,PF,94,15.8,0.549,0.571,0.31,0.649,4.7,6.85,0.576,0.562,0.086,0.279,3.6,0.54,0.339
Andrew Goudelock,College of Charleston,2011,32,PG,140,32.8,0.457,0.494,0.413,0.838,18.4,-2.92,0.574,0.552,0.458,0.15,14.9,0.7,0.373
Josh Selby,Kansas,2011,33,PG,26,27.4,0.373,0.384,0.362,0.757,7.9,7.62,0.489,0.461,0.487,0.192,0.4,0.07,0.133
Lavoy Allen,Temple,2011,34,PF,135,32.2,0.534,0.549,0.288,0.671,10.5,4.24,0.562,0.542,0.06,0.293,9.5,0.0,0.0
Vernon Macklin,Florida,2011,35,PF,136,18.4,0.61,0.611,0.0,0.455,11.6,7.57,0.591,0.61,0.001,0.351,5.9,0.0,0.0
E'twaun Moore,Purdue,2011,36,SG,140,32.3,0.44,0.473,0.38,0.729,15.3,7.64,0.536,0.508,0.36,0.258,9.9,0.45,0.378
Isaiah Thomas,Washington,2011,37,PG,105,30.4,0.426,0.49,0.325,0.713,16.4,7.81,0.538,0.489,0.388,0.484,8.5,1.28,0.379
Anthony Davis,Kentucky,2012,1,PF,40,32.0,0.623,0.653,0.15,0.709,14.2,7.93,0.654,0.628,0.059,0.602,5.9,0.0,0.0
Michael Kidd-Gilchrist,Kentucky,2012,2,SF,40,31.1,0.491,0.535,0.255,0.745,11.9,7.93,0.57,0.511,0.156,0.589,3.4,0.03,0.222
Bradley Beal,Florida,2012,3,SG,37,34.2,0.445,0.541,0.339,0.769,14.8,7.33,0.575,0.525,0.473,0.44,3.6,1.62,0.386
Dion Waiters,Syracuse,2012,4,SG,71,20.4,0.453,0.513,0.348,0.753,9.7,8.4,0.551,0.516,0.362,0.303,4.4,1.03,0.31
Thomas Robinson,Kansas,2012,5,PF,105,18.7,0.525,0.525,0.5,0.606,9.8,8.6,0.55,0.529,0.019,0.502,5.1,0.0,0.0
Damian Lillard,Weber State,2012,6,PG,104,32.3,0.446,0.497,0.39,0.867,18.6,-2.21,0.606,0.54,0.481,0.458,14.2,2.26,0.368
Harrison Barnes,UNC,2012,7,SF,75,29.3,0.43,0.469,0.349,0.734,16.3,8.61,0.524,0.487,0.326,0.313,5.6,0.64,0.359
Terrence Ross,Washington,2012,8,SG,69,24.4,0.453,0.528,0.364,0.764,12.3,6.51,0.557,0.536,0.456,0.181,4.7,0.89,0.33
Andre Drummond,UConn,2012,9,C,34,28.4,0.538,0.541,0.0,0.295,10.0,8.07,0.509,0.538,0.007,0.301,1.4,0.02,0.5
Austin Rivers,Duke,2012,10,SG,34,33.2,0.433,0.477,0.365,0.658,15.5,8.4,0.538,0.505,0.396,0.458,2.4,0.46,0.326
Meyers Leonard,Illinois,2012,11,C,65,19.8,0.567,0.585,0.083,0.729,7.7,9.55,0.601,0.569,0.034,0.413,2.7,0.04,0.429
Jeremy Lamb,UConn,2012,12,SF,75,32.1,0.482,0.573,0.348,0.806,14.1,9.25,0.58,0.553,0.406,0.217,6.9,0.39,0.3
Kendall Marshall,UNC,2012,13,PG,73,28.8,0.446,0.484,0.366,0.693,7.2,8.61,0.541,0.505,0.323,0.401,3.7,0.48,0.315
John Henson,UNC,2012,14,PF,109,23.8,0.497,0.505,0.208,0.484,10.3,9.01,0.501,0.5,0.025,0.365,4.1,0.0,0.0
Maurice Harkless,St. John's (NY),2012,15,SF,32,36.1,0.452,0.506,0.215,0.676,15.5,6.98,0.504,0.472,0.185,0.326,1.8,0.42,0.274
Royce White,Iowa State,2012,16,PF,34,31.5,0.534,0.541,0.333,0.498,13.4,7.32,0.536,0.54,0.037,0.625,2.1,0.0,0.0
Tyler Zeller,UNC,2012,17,C,117,23.0,0.543,0.544,0.0,0.775,12.8,8.85,0.597,0.543,0.002,0.52,9.9,0.0,0.0
Terrence Jones,Kentucky,2012,18,PF,76,30.4,0.467,0.493,0.328,0.638,14.0,8.42,0.526,0.493,0.156,0.489,6.2,0.26,0.263
Andrew Nicholson,St. Bonaventure,2012,19,PF,123,29.9,0.575,0.586,0.377,0.72,17.1,1.35,0.616,0.585,0.055,0.45,12.7,0.0,0.0
Jared Sullinger,Ohio State,2012,20,PF,74,31.0,0.53,0.541,0.365,0.733,17.3,8.73,0.591,0.541,0.061,0.583,10.3,0.02,0.2
Fab Melo,Syracuse,2012,21,C,63,17.3,0.576,0.576,0.0,0.553,4.9,8.4,0.577,0.576,0.0,0.371,1.6,0.0,0.0
John Jenkins,Vanderbilt,2012,22,SG,98,30.6,0.468,0.521,0.438,0.856,16.9,7.59,0.648,0.607,0.634,0.339,12.5,0.87,0.384
Jared Cunningham,Oregon State,2012,23,SG,98,27.9,0.455,0.501,0.344,0.754,13.0,4.73,0.576,0.505,0.292,0.678,5.8,0.25,0.667
Tony Wroten,Washington,2012,24,SG,35,30.3,0.443,0.483,0.161,0.583,16.0,5.27,0.488,0.453,0.125,0.591,1.6,0.11,0.25
Miles Plumlee,Duke,2012,25,C,135,15.8,0.557,0.557,1.0,0.625,4.8,8.75,0.575,0.559,0.002,0.426,4.1,0.0,0.0
Arnett Moultrie,Mississippi State,2012,26,PF,100,30.2,0.511,0.539,0.289,0.676,11.4,3.34,0.557,0.527,0.112,0.397,5.4,0.0,0.0
Perry Jones,Baylor,2012,27,SF,63,32.2,0.522,0.539,0.279,0.678,13.7,6.41,0.558,0.531,0.065,0.363,5.0,0.0,0.0
Marquis Teague,Kentucky,2012,28,PG,40,32.6,0.412,0.438,0.325,0.714,10.0,7.93,0.491,0.449,0.227,0.338,1.7,0.08,0.174
Festus Ezeli,Vanderbilt,2012,29,C,121,17.9,0.562,0.562,0.0,0.584,7.7,6.64,0.577,0.562,0.0,0.799,4.4,0.0,0.0
Jeffery Taylor,Vanderbilt,2012,30,SF,134,29.3,0.483,0.52,0.358,0.693,14.2,6.64,0.562,0.524,0.233,0.473,10.4,0.69,0.344
Bernard James,Florida State,2012,31,PF,69,24.6,0.627,0.627,0.0,0.528,9.7,7.04,0.613,0.627,0.0,0.533,3.5,0.0,0.0
Jae Crowder,Marquette,2012,32,SF,72,30.2,0.492,0.581,0.35,0.683,14.6,8.0,0.584,0.56,0.386,0.377,7.8,0.81,0.328
Draymond Green,Michigan State,2012,33,PF,145,25.0,0.467,0.496,0.361,0.687,10.5,9.76,0.543,0.506,0.217,0.426,9.6,0.18,0.209
Orlando Johnson,UCSB,2012,34,SF,124,31.3,0.457,0.493,0.391,0.72,17.8,-0.6,0.566,0.526,0.352,0.438,11.9,0.71,0.383
Quincy Acy,Baylor,2012,35,SF,139,25.1,0.602,0.604,0.429,0.708,9.8,7.2,0.635,0.604,0.008,0.594,9.9,0.03,0.5
Khris Middleton,Texas A&M,2012,36,SF,87,26.0,0.431,0.494,0.321,0.768,11.3,7.42,0.534,0.489,0.364,0.345,4.8,0.52,0.311
Will Barton,Memphis,2012,37,SF,70,32.9,0.471,0.546,0.299,0.733,15.2,4.2,0.549,0.517,0.302,0.311,5.9,0.12,0.138
Tyshawn Taylor,Kansas,2012,38,PG,146,27.7,0.477,0.518,0.37,0.708,10.8,8.42,0.566,0.529,0.28,0.438,8.5,0.16,0.462
Doron Lamb,Kentucky,2012,39,SG,78,29.8,0.485,0.492,0.475,0.811,13.1,8.42,0.627,0.589,0.437,0.359,8.1,0.3,0.378
Mike Scott,Virginia,2012,40,PF,130,26.6,0.521,0.528,0.364,0.775,11.8,6.34,0.575,0.529,0.039,0.405,8.9,0.0,0.0
Kim English,Missouri,2012,41,SG,141,24.2,0.42,0.444,0.394,0.727,11.1,6.32,0.551,0.517,0.494,0.337,6.7,0.34,0.28
Darius Miller,Kentucky,2012,42,SF,152,24.9,0.448,0.509,0.379,0.815,8.2,7.12,0.568,0.537,0.467,0.229,8.1,0.42,0.393
Kyle O'Quinn,Norfolk State,2012,43,C,129,27.5,0.553,0.62,0.261,0.685,12.5,-7.19,0.602,0.577,0.188,0.44,9.4,0.0,0.0
Robert Sacre,Gonzaga,2012,44,C,136,21.7,0.504,0.505,0.25,0.735,9.3,3.36,0.575,0.504,0.005,0.756,7.1,0.0,0.0
Anthony Bennett,UNLV,2013,1,PF,35,27.1,0.533,0.587,0.375,0.701,16.1,5.71,0.609,0.58,0.253,0.467,3.5,0.25,0.245
Victor Oladipo,Indiana,2013,2,PG,104,24.6,0.538,0.585,0.338,0.716,10.7,7.94,0.604,0.57,0.188,0.476,7.8,0.93,0.327
Otto Porter,Georgetown,2013,3,SF,64,32.5,0.498,0.55,0.355,0.751,12.8,7.64,0.585,0.545,0.264,0.41,6.8,0.11,0.19
Cody Zeller,Indiana,2013,4,C,72,29.0,0.592,0.594,0.0,0.756,16.1,8.09,0.643,0.592,0.003,0.705,9.9,0.0,0.0
Alex Len,Maryland,2013,5,C,60,24.5,0.538,0.548,0.111,0.663,9.7,5.32,0.569,0.539,0.022,0.476,3.5,0.0,0.0
Nerlens Noel,Kentucky,2013,6,C,24,31.9,0.59,0.59,0.0,0.529,10.5,5.78,0.583,0.59,0.0,0.627,1.6,0.0,0.0
Ben McLemore,Kansas,2013,7,SG,37,32.2,0.495,0.553,0.42,0.87,15.9,7.54,0.633,0.586,0.435,0.345,4.2,1.16,0.32
Kentavious Caldwell-Pope,Georgia,2013,8,SG,64,33.0,0.415,0.504,0.339,0.752,15.8,7.02,0.543,0.507,0.539,0.307,5.8,0.74,0.319
Trey Burke,Michigan,2013,9,PG,73,35.7,0.45,0.499,0.367,0.777,16.9,9.51,0.556,0.519,0.374,0.3,9.7,1.59,0.33
C.J. McCollum,Lehigh,2013,10,SG,111,32.9,0.439,0.47,0.377,0.825,21.3,-5.41,0.563,0.501,0.33,0.423,13.9,0.79,0.375
Michael Carter-Williams,Syracuse,2013,11,PG,66,25.4,0.398,0.438,0.307,0.679,8.2,8.29,0.493,0.445,0.303,0.462,3.3,0.79,0.264
Steven Adams,Pitt,2013,12,C,32,23.4,0.571,0.571,0.0,0.443,7.2,5.63,0.555,0.571,0.0,0.4,1.6,0.0,0.0
Kelly Olynyk,Gonzaga,2013,13,C,101,17.2,0.594,0.634,0.333,0.709,8.9,4.0,0.641,0.616,0.132,0.501,6.7,0.57,0.351
Shabazz Muhammad,UCLA,2013,14,SG,32,30.8,0.443,0.463,0.377,0.711,17.9,7.82,0.528,0.487,0.232,0.395,2.9,0.08,0.273
Shane Larkin,Miami (FL),2013,15,PG,68,31.3,0.438,0.491,0.375,0.808,11.2,7.03,0.566,0.524,0.46,0.311,5.1,0.25,0.316
Tony Snell,New Mexico,2013,16,SG,104,24.8,0.421,0.48,0.38,0.821,9.2,4.95,0.571,0.533,0.588,0.272,5.1,0.74,0.32
Gorgui Dieng,Louisville,2013,17,C,102,27.3,0.545,0.546,0.333,0.64,8.3,8.78,0.568,0.546,0.005,0.439,5.4,0.02,1.0
Mason Plumlee,Duke,2013,18,C,141,25.9,0.574,0.578,0.2,0.583,9.8,8.87,0.584,0.575,0.011,0.622,8.3,0.0,0.0
Solomon Hill,Arizona,2013,19,SF,139,29.0,0.481,0.528,0.375,0.745,10.3,7.05,0.582,0.538,0.303,0.453,9.0,0.25,0.304
Tim Hardaway Jr.,Michigan,2013,20,SG,107,33.3,0.425,0.5,0.343,0.724,14.3,9.9,0.539,0.507,0.475,0.308,8.0,1.6,0.363
Reggie Bullock,UNC,2013,21,SF,100,24.6,0.439,0.517,0.387,0.72,9.9,8.41,0.568,0.555,0.596,0.145,6.8,0.51,0.301
Andre Roberson,Colorado,2013,22,SG,105,28.3,0.516,0.555,0.35,0.582,9.6,6.43,0.561,0.549,0.193,0.459,6.2,0.05,0.154
Archie Goodwin,Kentucky,2013,23,SG,33,31.8,0.44,0.478,0.266,0.637,14.1,5.78,0.509,0.464,0.179,0.594,1.6,0.1,0.139
Isaiah Canaan,Murray State,2013,24,PG,132,29.4,0.45,0.483,0.419,0.803,15.5,-3.56,0.606,0.558,0.514,0.42,14.3,0.82,0.327
Ray McCallum,Detroit,2013,25,PG,102,34.5,0.465,0.536,0.29,0.723,15.9,0.84,0.556,0.507,0.286,0.506,11.2,0.49,0.373
Nate Wolters,South Dakota State,2013,26,PG,127,33.1,0.45,0.49,0.342,0.803,18.5,-3.55,0.56,0.497,0.269,0.47,19.1,0.31,0.29
Jeff Withey,Kansas,2013,27,C,117,19.8,0.568,0.567,1.0,0.726,8.0,8.34,0.616,0.569,0.002,0.677,6.6,0.0,0.0
Jamaal Franklin,San Diego State,2013,28,SG,85,25.9,0.426,0.504,0.302,0.78,13.7,5.45,0.55,0.484,0.383,0.514,5.5,0.24,0.455
Mike Muscala,Bucknell,2013,29,PF,133,28.7,0.501,0.51,0.313,0.819,15.3,-3.94,0.574,0.508,0.046,0.482,14.6,0.0,0.0
Ryan Kelly,Duke,2013,30,PF,126,19.3,0.46,0.513,0.379,0.805,7.5,8.87,0.585,0.535,0.394,0.399,7.2,0.81,0.338
Lorenzo Brown,NC State,2013,31,SG,101,32.6,0.429,0.464,0.305,0.741,11.6,6.92,0.513,0.463,0.22,0.4,5.7,0.12,0.1
Peyton Siva,Louisville,2013,32,PG,144,26.2,0.417,0.482,0.291,0.737,8.4,8.58,0.516,0.467,0.344,0.4,4.9,0.29,0.28
Andrew Wiggins,Kansas,2014,1,SF,35,32.8,0.448,0.493,0.341,0.775,17.1,11.4,0.563,0.499,0.299,0.538,3.2,0.48,0.31
Jabari Parker,Duke,2014,2,PF,35,30.7,0.473,0.504,0.358,0.748,19.1,8.48,0.558,0.511,0.212,0.429,3.6,0.16,0.25
Joel Embiid,Kansas,2014,3,C,28,23.1,0.626,0.639,0.2,0.685,11.2,11.4,0.655,0.629,0.029,0.836,1.8,1.16,0.367
Aaron Gordon,Arizona,2014,4,PF,38,31.2,0.495,0.513,0.356,0.422,12.4,9.04,0.503,0.516,0.118,0.471,2.1,0.28,0.271
Marcus Smart,Oklahoma State,2014,5,PG,64,33.1,0.413,0.488,0.295,0.751,16.6,7.53,0.542,0.47,0.388,0.612,5.6,1.36,0.335
Julius Randle,Kentucky,2014,6,PF,40,30.8,0.501,0.517,0.167,0.706,15.0,9.89,0.567,0.505,0.046,0.739,3.5,0.0,0.0
Nik Stauskas,Michigan,2014,7,SG,75,32.9,0.467,0.5,0.441,0.832,14.1,9.85,0.638,0.591,0.564,0.421,8.5,0.66,0.322
Noah Vonleh,Indiana,2014,8,PF,30,26.5,0.523,0.53,0.485,0.716,11.3,6.64,0.604,0.56,0.153,0.62,1.6,0.2,0.385
Elfrid Payton,Louisiana,2014,9,PG,100,31.6,0.485,0.512,0.268,0.611,14.3,-1.6,0.533,0.5,0.109,0.625,6.1,0.13,0.262
Doug McDermott,Creighton,2014,10,SF,145,31.5,0.55,0.587,0.458,0.831,21.7,4.29,0.652,0.616,0.288,0.345,21.6,0.36,0.317
Zach LaVine,UCLA,2014,11,PG,37,24.4,0.441,0.494,0.375,0.691,9.4,7.62,0.545,0.524,0.444,0.236,1.4,0.74,0.341
T.J. Warren,NC State,2014,12,SF,70,31.2,0.555,0.598,0.315,0.654,18.5,7.31,0.593,0.579,0.15,0.313,8.1,0.12,0.238
Adreian Payne,Michigan State,2014,13,PF,138,20.0,0.526,0.551,0.409,0.755,8.9,10.35,0.601,0.562,0.175,0.432,7.0,0.03,0.111
James Young,Kentucky,2014,14,SG,40,32.4,0.407,0.47,0.349,0.706,14.3,9.89,0.536,0.498,0.522,0.393,3.0,0.55,0.258
Tyler Ennis,Syracuse,2014,15,PG,34,35.7,0.411,0.429,0.353,0.765,12.9,7.25,0.511,0.453,0.236,0.414,3.2,0.36,0.279
Gary Harris,Michigan State,2014,16,SG,69,31.0,0.44,0.503,0.376,0.788,14.9,9.96,0.571,0.533,0.495,0.306,6.2,0.38,0.204
Mitch McGary,Michigan,2014,17,PF,47,20.6,0.588,0.592,0.0,0.513,7.8,9.85,0.582,0.588,0.007,0.272,2.6,0.0,0.0
Jordan Adams,UCLA,2014,18,SG,69,30.2,0.467,0.548,0.331,0.839,16.4,7.72,0.589,0.529,0.371,0.429,7.4,0.33,0.4
Rodney Hood,Duke,2014,19,SG,67,32.8,0.455,0.499,0.396,0.773,13.3,6.67,0.569,0.539,0.426,0.252,5.8,1.24,0.365
Shabazz Napier,UConn,2014,20,PG,143,32.3,0.411,0.444,0.375,0.813,13.7,8.64,0.562,0.501,0.479,0.433,12.8,0.84,0.364
P.J. Hairston,UNC,2014,21,SG,71,18.1,0.388,0.458,0.349,0.8,10.0,7.54,0.544,0.5,0.642,0.309,4.3,1.09,0.301
C.J. Wilcox,Washington,2014,22,SG,131,28.5,0.433,0.481,0.389,0.84,14.4,6.67,0.571,0.535,0.523,0.241,11.7,0.33,0.368
Josh Huestis,Stanford,2014,23,PF,135,25.0,0.451,0.492,0.319,0.61,7.5,6.38,0.509,0.489,0.238,0.318,5.5,0.8,0.667
Kyle Anderson,UCLA,2014,24,SF,71,31.6,0.452,0.465,0.375,0.736,12.2,7.72,0.531,0.479,0.143,0.452,4.6,0.09,0.273
K.J. McDaniels,Clemson,2014,25,SF,94,24.3,0.45,0.516,0.313,0.767,11.0,4.6,0.547,0.501,0.322,0.373,5.6,0.69,0.287
Joe Harris,Virginia,2014,26,SG,135,30.3,0.445,0.484,0.407,0.722,12.6,5.72,0.577,0.548,0.506,0.324,10.0,0.61,0.369
Cleanthony Early,Wichita State,2014,27,SF,75,26.2,0.47,0.555,0.348,0.819,15.1,3.91,0.596,0.541,0.411,0.433,7.2,0.56,0.262
Johnny O'Bryant,LSU,2014,28,PF,91,27.1,0.467,0.474,0.222,0.619,12.7,5.38,0.501,0.47,0.028,0.434,1.9,0.0,0.0
Spencer Dinwiddie,Colorado,2014,29,PG,86,30.1,0.42,0.446,0.386,0.83,13.0,7.49,0.599,0.504,0.432,0.733,8.4,0.35,0.185
Jerami Grant,Syracuse,2014,30,SF,72,21.9,0.486,0.496,0.3,0.641,7.5,7.91,0.536,0.494,0.052,0.652,3.6,0.75,0.314
Glenn Robinson III,Michigan,2014,31,SF,76,33.0,0.525,0.603,0.313,0.718,12.0,9.85,0.593,0.567,0.269,0.331,7.0,0.14,0.263
Nick Johnson,Arizona,2014,32,SG,108,30.9,0.421,0.459,0.359,0.734,12.3,7.04,0.535,0.49,0.383,0.399,7.0,0.18,0.238
Markel Brown,Oklahoma State,2014,33,SG,134,30.5,0.439,0.486,0.347,0.733,12.4,7.74,0.545,0.497,0.335,0.442,8.0,0.36,0.266
Dwight Powell,Stanford,2014,34,PF,136,26.2,0.464,0.484,0.289,0.722,10.8,6.38,0.533,0.479,0.103,0.502,6.1,0.1,0.273
Jordan Clarkson,Missouri,2014,35,SG,93,31.7,0.44,0.485,0.322,0.805,15.4,4.32,0.548,0.484,0.274,0.453,6.9,0.64,0.314
Lamar Patterson,Pitt,2014,36,SF,149,24.3,0.435,0.483,0.369,0.723,9.5,6.86,0.549,0.513,0.422,0.359,9.4,0.34,0.245
Cory Jefferson,Baylor,2014,37,PF,130,19.9,0.543,0.556,0.34,0.66,8.9,8.32,0.582,0.554,0.063,0.534,8.3,0.04,0.133
Karl-Anthony Towns,Kentucky,2015,1,C,39,21.1,0.566,0.577,0.25,0.813,10.3,8.67,0.627,0.57,0.031,0.523,3.5,0.37,0.341
D'Angelo Russell,Ohio State,2015,2,PG,35,33.9,0.449,0.479,0.411,0.756,19.3,7.37,0.573,0.541,0.449,0.303,4.4,1.62,0.351
Jahlil Okafor,Duke,2015,3,C,38,30.1,0.664,0.664,0.0,0.51,17.3,9.87,0.641,0.664,0.0,0.462,4.5,0.02,0.167
Willie Cauley-Stein,Kentucky,2015,4,C,105,24.5,0.593,0.593,0.0,0.508,8.0,8.12,0.582,0.593,0.0,0.509,5.7,0.0,0.0
Stanley Johnson,Arizona,2015,5,SF,38,28.4,0.446,0.478,0.371,0.742,13.8,7.41,0.551,0.501,0.297,0.456,2.8,0.86,0.307
Frank Kaminsky,Wisconsin,2015,6,C,144,20.4,0.522,0.58,0.369,0.763,10.1,9.61,0.609,0.573,0.275,0.384,12.8,0.84,0.337
Justise Winslow,Duke,2015,7,SF,39,29.1,0.486,0.516,0.418,0.641,12.6,9.87,0.572,0.551,0.309,0.438,3.1,0.41,0.276
Myles Turner,Texas,2015,8,C,34,22.2,0.455,0.513,0.274,0.839,10.1,9.07,0.556,0.488,0.241,0.436,1.9,0.05,0.214
Trey Lyles,Kentucky,2015,9,PF,36,23.0,0.488,0.536,0.138,0.735,8.7,8.67,0.543,0.496,0.121,0.425,2.1,0.61,0.383
Devin Booker,Kentucky,2015,10,SG,38,21.5,0.47,0.527,0.411,0.828,10.0,8.67,0.6,0.571,0.491,0.223,2.7,1.3,0.343
Cameron Payne,Murray State,2015,11,PG,69,32.4,0.432,0.487,0.359,0.781,18.5,-3.19,0.551,0.509,0.431,0.322,8.0,0.63,0.324
Kelly Oubre,Kansas,2015,12,SF,36,21.0,0.444,0.497,0.358,0.718,9.3,12.13,0.555,0.512,0.383,0.444,1.7,0.4,0.316
Terry Rozier,Louisville,2015,13,PG,73,26.8,0.408,0.447,0.331,0.772,12.0,6.89,0.507,0.463,0.337,0.303,4.5,0.15,0.222
Rashad Vaughn,UNLV,2015,14,SG,23,32.3,0.439,0.481,0.383,0.694,17.8,3.38,0.547,0.521,0.43,0.299,1.4,0.61,0.293
Sam Dekker,Wisconsin,2015,15,SF,113,27.9,0.493,0.591,0.348,0.695,12.1,10.07,0.585,0.563,0.403,0.317,10.6,0.0,0.0
Jerian Grant,Notre Dame,2015,16,PG,119,36.4,0.436,0.498,0.345,0.79,14.6,6.88,0.563,0.506,0.407,0.444,13.9,0.29,0.22
Delon Wright,Utah,2015,17,PG,68,34.8,0.535,0.594,0.299,0.814,15.0,6.82,0.629,0.565,0.2,0.593,9.5,0.19,0.385
Justin Anderson,Virginia,2015,18,SF,98,24.1,0.43,0.481,0.357,0.752,8.9,6.64,0.549,0.503,0.407,0.398,5.2,0.4,0.265
Bobby Portis,Arkansas,2015,19,PF,70,28.5,0.526,0.54,0.365,0.737,15.0,6.18,0.574,0.54,0.081,0.35,6.6,0.26,0.308
Rondae Hollis-Jefferson,Arizona,2015,20,SF,76,27.0,0.496,0.52,0.205,0.697,10.2,8.23,0.56,0.504,0.075,0.682,5.3,0.14,0.286
